#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-12-09T15:11:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5dee63311dd8	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_Glon,_Glat
#-nav=cat:J/ApJ/784/170&tab:{J/ApJ/784/170/table4}&key:source=J/ApJ/784/170/table4&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/784/170/table4
#-order=I
#-out=SDSS
#SDSS=DR9
#-out=RAJ2000
#-out=DEJ2000
#-out=rmag
#-out=g-r
#-out=HRV
#-out=Teff
#-out=[Fe/H]
#-out=logg
#-out=DMpeak
#-out=rMag
#-out=Dist
#-out=Rgc
#-out=pRGB
#-out=Sloan
#Sloan=Sloan
#-out=SimbadName
#

#RESOURCE=yCat_17840170
#Name: J/ApJ/784/170
#Title: The SEGUE K giant survey. II. Distances of 6036 stars (Xue+, 2014)
#Coosys	G:	galactic
#Table	J_ApJ_784_170_table4:
#Name: J/ApJ/784/170/table4
#Title: List of 6036 K giants selected from SDSS DR9
#Column	_Glon	(F10.6)	Galactic longitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lon]
#Column	_Glat	(F10.6)	Galactic latitude (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.galactic.lat]
#Column	SDSS	(A3)	Display the photometric data from SDSS DR9 (cat. V/139)	[ucd=meta.ref.url]
#Column	RAJ2000	(F8.4)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	rmag	(F6.3)	[13.8/19.6] Extinction-corrected r band magnitude (r_0_)	[ucd=phot.mag;em.opt.R]
#Column	g-r	(F6.3)	[0.5/1.3] The (g-r) color index after extinction correction (g-r)_0_	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	HRV	(F6.1)	[-506.5/419.4] Heliocentic radial velocity	[ucd=spect.dopplerVeloc]
#Column	Teff	(I4)	[4025/5691] Effective temperature (SSPP) (2)	[ucd=phys.temperature.effective]
#Column	[Fe/H]	(F5.2)	[-3.6/0.32] Metallicity (SSPP) (2)	[ucd=phys.abund.Z]
#Column	logg	(F5.2)	[0.18/3.5] Log of the surface gravity (SSPP) (2)	[ucd=phys.gravity]
#Column	DMpeak	(F5.2)	[13.1/20.4] Distance modulus at peak of distance modulus likelihood (DM_peak_) (4)	[ucd=phot.mag.distMod]
#Column	rMag	(F5.2)	[-3.2/1.2] Absolute magnitude in r band (M_r_) (6)	[ucd=phys.magAbs]
#Column	Dist	(F6.2)	[4.2/120.3] Distance to Sun (d) (6)	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F6.2)	[4.79/125.1] Distance to Galactic center (r_GC_) (6)	[ucd=pos.distance]
#Column	pRGB	(F5.2)	[0.45/1] Chance of being clearly on the Red-Giant Branch (RGB), above the level of the Horizontal Branch (HB) (P_aboveHB_) (7)	[ucd=stat.fit.goodness]
#Column	Sloan	(a5)	Display the online SDSS data for the nearest object	[ucd=meta.ref.url]
#Column	SimbadName	(a27)	Simbad column added by the CDS	[ucd=meta.id]
_Glon;_Glat;SDSS;RAJ2000;DEJ2000;rmag;g-r;HRV;Teff;[Fe/H];logg;DMpeak;rMag;Dist;Rgc;pRGB;Sloan;SimbadName
050.221618;+13.790084;DR9;277.8962;+21.4429;15.972; 0.622; -90.5;5082;-1.46; 2.42;15.70; 0.27; 13.80; 10.83; 0.86;Sloan;SDSS J183135.07+212634.4
049.614336;+14.102203;DR9;277.3327;+21.0319;14.295; 1.080;  17.2;4452;-0.22; 2.62;14.77;-0.47;  8.98;  7.37; 1.00;Sloan;SDSS J182919.80+210154.8
049.204494;+14.289836;DR9;276.9762;+20.7453;14.615; 1.084;  -4.8;4554; 0.14; 2.63;14.47; 0.14;  7.84;  6.79; 0.86;Sloan;SDSS J182754.28+204443.2
049.555163;+15.071911;DR9;276.3566;+21.3717;15.164; 0.866;-193.8;4747;-0.34; 2.80;15.10; 0.07; 10.47;  8.28; 0.69;Sloan;SDSS J182525.55+212218.0
049.280526;+14.840119;DR9;276.4696;+21.0355;14.846; 1.001;-132.9;4363;-0.29; 1.98;15.13;-0.28; 10.61;  8.34; 0.99;Sloan;SDSS J182552.67+210207.9
049.087593;+14.519720;DR9;276.7024;+20.7352;14.750; 0.949; -23.5;4441;-0.49; 2.15;15.17;-0.42; 10.80;  8.43; 1.00;Sloan;SDSS J182648.55+204406.6
049.562331;+15.323696;DR9;276.1118;+21.4790;14.551; 0.966;  32.1;4565;-0.01; 2.31;14.35; 0.20;  7.43;  6.70; 0.58;Sloan;SDSS J182426.80+212844.2
050.830465;+14.966434;DR9;276.9931;+22.4578;15.318; 0.745;  22.6;4693;-0.97; 1.69;15.61;-0.30; 13.27; 10.51; 0.96;Sloan;SDSS J182758.30+222727.9
049.935763;+14.750510;DR9;276.8318;+21.5791;14.805; 1.014; -26.2;4640; 0.11; 1.93;14.34; 0.47;  7.37;  6.70; 0.58;Sloan;SDSS J182719.59+213444.6
050.034028;+14.353961;DR9;277.2631;+21.5059;15.101; 1.032;-163.6;4376;-0.33; 1.77;15.61;-0.51; 13.23; 10.36; 1.00;Sloan;SDSS J182903.11+213021.3
050.857567;+13.811506;DR9;278.1461;+22.0156;15.168; 0.733; -41.9;4882;-0.82; 2.41;15.19;-0.02; 10.90;  8.71; 0.79;Sloan;SDSS J183235.04+220056.0
051.235292;+14.294084;DR9;277.8299;+22.5462;14.538; 0.989;   5.5;4428;-0.04; 2.32;14.47; 0.07;  7.84;  7.03; 0.77;Sloan;SDSS J183119.14+223246.1
050.652745;+12.983098;DR9;278.8719;+21.4945;14.821; 1.088; -23.7;4389;-0.17; 2.59;15.28;-0.46; 11.38;  9.00; 1.00;Sloan;SDSS J183529.21+212940.3
050.928590;+12.869014;DR9;279.1029;+21.6924;14.379; 1.063; -68.5;4397;-0.24; 2.20;14.83;-0.45;  9.25;  7.65; 1.00;Sloan;SDSS J183624.65+214132.5
069.626441;+12.986059;DR9;287.6523;+38.3655;15.476; 0.991; -68.0;4552;-0.08; 2.63;15.38; 0.10; 11.91; 11.88; 0.89;Sloan;SDSS J191036.53+382155.6
069.780438;+13.294816;DR9;287.3720;+38.6295;14.710; 1.035;-128.8;4426;-0.25; 1.95;15.06;-0.35; 10.30; 10.71; 1.00;Sloan;SDSS J190929.25+383746.2
069.764398;+13.163235;DR9;287.5172;+38.5611;15.270; 0.935;-182.3;4543;-0.14; 2.60;15.03; 0.24; 10.14; 10.59; 0.72;Sloan;SDSS J191004.11+383340.0
069.650157;+14.112532;DR9;286.3481;+38.8459;15.109; 0.965;-130.9;4467;-0.23; 2.41;15.12;-0.01; 10.55; 10.88; 0.98;Sloan;SDSS J190523.51+385045.1
068.917786;+13.371753;DR9;286.8444;+37.8954;16.616; 0.645;-138.6;4879;-1.11; 2.41;16.21; 0.41; 17.46; 16.47; 0.61;Sloan;SDSS J190722.63+375343.2
068.740302;+13.326724;DR9;286.8070;+37.7194;14.774; 0.969; -25.5;4530;-0.15; 2.63;14.69; 0.09;  8.66;  9.49; 0.92;Sloan;SDSS J190713.66+374309.8
069.738328;+13.986122;DR9;286.5409;+38.8734;15.028; 0.998;-184.5;4378;-0.39; 2.23;15.54;-0.52; 12.84; 12.64; 1.00;Sloan;SDSS J190609.80+385224.2
069.454954;+14.093373;DR9;286.2732;+38.6648;14.598; 0.919; -93.2;4523;-0.60; 2.16;15.14;-0.54; 10.65; 10.93; 1.00;Sloan;SDSS J190505.52+383953.2
069.222977;+13.941338;DR9;286.3355;+38.3976;15.728; 0.998;-170.0;4415;-0.33; 2.04;16.17;-0.44; 17.15; 16.24; 1.00;Sloan;SDSS J190520.48+382351.3
069.356334;+14.688702;DR9;285.5242;+38.8139;14.970; 0.996; -78.5;4566;-0.17; 2.43;15.03;-0.06; 10.13; 10.55; 0.99;Sloan;SDSS J190205.78+384850.2
068.873483;+14.389828;DR9;285.6387;+38.2664;14.334; 0.979; -52.3;4407;-0.23; 2.22;14.41;-0.07;  7.62;  8.91; 0.99;Sloan;SDSS J190233.28+381559.0
070.236280;+15.091929;DR9;285.4757;+39.7543;14.295; 1.121; -35.9;4528; 0.00; 2.72;14.42;-0.12;  7.64;  9.08; 1.00;Sloan;SDSS J190154.14+394515.6
070.163683;+15.135927;DR9;285.3875;+39.7069;16.211; 0.693;-322.0;4729;-3.44; 0.75;17.58;-1.37; 32.79; 31.11; 1.00;Sloan;SDSS J190132.98+394225.0
069.925242;+15.306251;DR9;285.0677;+39.5610;14.472; 1.001;-119.1;4520;-0.20; 2.63;14.60;-0.13;  8.31;  9.44; 0.99;Sloan;SDSS J190016.21+393339.6
069.450659;+14.969822;DR9;285.2379;+39.0081;16.154; 0.864;-121.4;4816;-0.32; 3.02;16.03; 0.12; 16.08; 15.34; 0.66;Sloan;SDSS J190057.06+390029.1
069.527337;+15.180580;DR9;285.0250;+39.1584;14.511; 0.990; -46.0;4551;-0.22; 2.44;14.61;-0.10;  8.36;  9.42; 0.98;Sloan;SDSS J190005.96+390930.3
069.548952;+14.640964;DR9;285.6750;+38.9663;14.538; 1.022; -76.7;4502;-0.12; 2.54;14.66;-0.12;  8.54;  9.52; 0.99;Sloan;SDSS J190241.96+385758.4
071.289639;+14.719997;DR9;286.4463;+40.5443;14.598; 0.985; -81.3;4583;-0.18; 2.35;14.62;-0.02;  8.41;  9.64; 0.98;Sloan;SDSS J190547.08+403239.4
069.606260;+14.390602;DR9;285.9988;+38.9180;14.348; 0.963; -85.8;4517;-0.36; 1.83;14.61;-0.27;  8.37;  9.43; 1.00;Sloan;SDSS J190359.66+385504.8
069.952847;+14.264111;DR9;286.3206;+39.1755;15.593; 0.967;-163.0;4599;-0.31; 2.28;15.77;-0.18; 14.29; 13.86; 0.99;Sloan;SDSS J190516.90+391031.6
070.173572;+13.391055;DR9;287.4610;+39.0178;16.508; 0.547;-362.3;5113;-2.14; 1.74;16.07; 0.44; 16.37; 15.67; 0.83;Sloan;SDSS J190950.63+390104.0
070.988930;+13.228193;DR9;288.0756;+39.6737;14.519; 1.213;-109.9;4207;-0.15; 1.58;15.34;-0.82; 11.71; 11.90; 1.00;Sloan;SDSS J191218.10+394025.5
099.110456;+54.642261;DR9;218.6146;+57.4607;16.799; 0.660;-237.7;4911;-1.40; 1.54;16.88;-0.08; 23.73; 25.73; 0.97;Sloan;SDSS J143427.45+572737.7
098.841286;+54.016941;DR9;219.6197;+57.8160;17.084; 0.529;-309.3;5272;-2.55; 1.59;16.50; 0.58; 19.95; 22.16; 0.55;Sloan;SDSS J143828.69+574857.4
098.816919;+55.343817;DR9;217.9843;+56.8254;14.750; 0.618; -47.4;5062;-1.36; 2.19;14.27; 0.48;  7.13; 11.17; 0.78;Sloan;SDSS J143156.21+564931.1
100.133444;+55.445960;DR9;216.8192;+57.2346;14.155; 0.560; -48.8;5171;-2.06; 2.36;13.82; 0.33;  5.81; 10.35; 0.89;Sloan;SDSS J142716.59+571404.2
100.384161;+55.315563;DR9;216.7690;+57.4258;14.515; 0.629;-204.3;5027;-1.98; 1.57;14.97;-0.45;  9.86; 13.32; 1.00;Sloan;SDSS J142704.51+572532.4
102.016947;+55.255395;DR9;215.4681;+58.0471;17.017; 0.523; -77.7;5322;-2.26; 1.77;16.12; 0.89; 16.77; 19.42; 0.46;Sloan;SDSS J142152.30+580249.1
102.814156;+54.919625;DR9;215.1488;+58.5882;17.265; 0.534;-179.9;5277;-2.09; 1.96;16.46; 0.81; 19.58; 22.08; 0.56;Sloan;SDSS J142035.71+583517.3
102.245197;+53.803139;DR9;216.9635;+59.2808;16.025; 0.549;-109.9;5211;-1.71; 2.32;15.10; 0.93; 10.47; 13.95; 0.49;Sloan;SDSS J142751.20+591650.6
100.638916;+54.086517;DR9;218.0372;+58.4647;17.444; 0.587;-163.2;5153;-1.79; 2.25;17.04; 0.41; 25.57; 27.61; 0.92;Sloan;SDSS J143208.91+582752.6
100.323279;+53.916024;DR9;218.5187;+58.4737;17.223; 0.558;-221.8;5280;-1.93; 2.69;16.60; 0.63; 20.87; 23.13; 0.79;Sloan;SDSS J143404.46+582825.3
100.537586;+53.371923;DR9;219.0215;+58.9677;16.980; 0.597;-237.3;5066;-1.63; 1.69;16.53; 0.45; 20.21; 22.53; 0.84;Sloan;SDSS J143605.12+585803.6
130.557527;+26.368903;DR9;098.2241;+83.1493;17.634; 0.642;-103.8;5218;-1.95; 1.63;18.10;-0.47; 41.69; 46.81; 1.00;Sloan;SDSS J063253.96+830857.5
130.783361;+26.002510;DR9;095.5243;+82.8891;15.446; 0.601;-105.2;4951;-1.54; 2.24;15.01; 0.44; 10.04; 16.10; 0.86;Sloan;SDSS J062206.03+825320.6
130.413710;+24.820900;DR9;085.5919;+82.8908;14.964; 0.630;-128.4;5105;-1.29; 2.56;14.56; 0.40;  8.17; 14.41; 0.77;Sloan;SDSS J054222.19+825327.1
130.994852;+24.741518;DR9;086.4351;+82.3683;16.253; 0.922; -61.8;4457;-0.65; 2.53;16.81;-0.56; 23.04; 28.54; 1.00;Sloan;SDSS J054544.64+822205.8
129.929669;+24.425510;DR9;081.1958;+83.1450;15.227; 0.689;-176.7;4971;-1.55; 2.03;15.77;-0.55; 14.29; 20.04; 1.00;Sloan;SDSS J052447.21+830841.9
129.350472;+24.734709;DR9;081.7653;+83.7523;15.812; 0.622;-238.4;5026;-1.55; 2.08;15.60; 0.21; 13.21; 18.97; 0.97;Sloan;SDSS J052703.91+834508.6
130.445754;+31.101086;DR9;135.8316;+82.3301;16.839; 0.604;-130.5;5151;-1.56; 1.50;16.41; 0.42; 19.18; 24.54; 0.87;Sloan;SDSS J090319.70+821947.8
129.755184;+31.002596;DR9;137.4921;+82.8906;15.256; 0.722;-297.0;4766;-1.32; 1.73;15.79;-0.53; 14.37; 19.91; 1.00;Sloan;SDSS J090958.25+825325.8
129.533874;+30.648199;DR9;135.7631;+83.2343;17.039; 0.635;-318.0;5084;-1.53; 2.00;16.92; 0.12; 24.25; 29.40; 0.94;Sloan;SDSS J090303.38+831403.1
129.649473;+28.386403;DR9;116.3619;+83.9247;14.893; 0.653;-247.4;5033;-1.36; 2.35;14.82; 0.07;  9.20; 15.20; 0.97;Sloan;SDSS J074526.95+835528.7
130.330840;+28.444715;DR9;115.9419;+83.3244;17.020; 0.585;-154.3;5166;-1.52; 2.56;16.37; 0.65; 18.77; 24.23; 0.68;Sloan;SDSS J074346.28+831927.8
129.346387;+29.029400;DR9;122.9200;+84.0308;15.580; 0.727;-282.4;4810;-1.12; 2.10;15.87;-0.29; 14.91; 20.46; 0.99;Sloan;SDSS J081141.00+840150.7
129.792443;+29.355390;DR9;124.6898;+83.5603;15.012; 0.596;-277.4;4935;-1.58; 2.09;14.53; 0.48;  8.04; 14.16; 0.82;Sloan;SDSS J081845.74+833336.6
129.251342;+30.302385;DR9;134.1516;+83.6149;14.626; 0.776;-329.2;4713;-1.42; 1.64;15.68;-1.05; 13.68; 19.25; 1.00;Sloan;2MASS J08563653+8336532
129.005133;+30.172824;DR9;134.0284;+83.8636;17.166; 0.673;-118.8;4916;-1.34; 2.19;17.27;-0.11; 28.50; 33.53; 0.94;Sloan;SDSS J085606.97+835148.9
128.906379;+30.089293;DR9;133.7129;+83.9783;15.480; 0.720; -73.5;4831;-0.85; 2.28;15.31; 0.17; 11.55; 17.26; 0.72;Sloan;SDSS J085451.25+835841.9
069.763109;+14.028326;DR9;286.5037;+38.9124;16.507; 1.000;-192.7;4429;-0.33; 2.09;16.94;-0.44; 24.47; 23.06; 1.00;Sloan;SDSS J190600.86+385444.9
099.392872;+53.873217;DR9;219.3532;+58.1417;18.303; 0.653; -13.2;4890;-1.13; 1.65;17.99; 0.32; 39.56; 41.11; 0.64;Sloan;SDSS J143724.71+580829.9
130.440456;+26.653804;DR9;100.5127;+83.2876;18.422; 0.611;-318.9;5431;-1.37; 2.63;17.85; 0.58; 37.09; 42.23; 0.69;Sloan;SDSS J064203.18+831715.2
131.081280;+25.040307;DR9;088.7586;+82.3905;18.514; 0.527;-255.6;5278;-2.25; 2.07;17.75; 0.77; 35.44; 40.71; 0.54;Sloan;SDSS J055502.23+822325.7
128.985222;+24.657095;DR9;079.7963;+84.0210;17.952; 0.536;-202.1;5308;-1.86; 2.64;16.92; 1.03; 24.18; 29.50; 0.47;Sloan;SDSS J051911.31+840115.6
129.853161;+25.823916;DR9;092.5291;+83.6698;18.223; 0.560;-260.4;5174;-1.59; 2.65;17.30; 0.92; 28.84; 34.08; 0.47;Sloan;SDSS J061007.09+834011.2
093.198580;+39.156020;DR9;249.3195;+62.5219;17.399; 0.546;-306.9;5209;-1.91; 2.79;16.50; 0.90; 19.99; 21.85; 0.62;Sloan;SDSS J163716.63+623118.8
092.617556;+40.176408;DR9;247.5251;+61.7878;14.839; 0.605;-261.8;5125;-1.50; 1.83;14.35; 0.49;  7.40; 11.08; 0.83;Sloan;SDSS J163006.00+614715.9
093.812467;+40.219818;DR9;246.8043;+62.6375;16.945; 0.608;-197.2;5038;-1.83; 2.71;16.84; 0.10; 23.37; 25.09; 0.98;Sloan;SDSS J162713.01+623814.6
094.210431;+40.994811;DR9;244.9943;+62.6492;15.709; 0.741;-130.3;4758;-2.56; 1.05;17.41;-1.70; 30.33; 31.79; 1.00;Sloan;SDSS J161958.57+623856.7
093.244658;+41.297302;DR9;244.9513;+61.8618;15.508; 0.658; -74.5;5126;-1.59; 2.09;15.73;-0.22; 14.00; 16.42; 0.99;Sloan;SDSS J161948.29+615142.1
094.707252;+41.331621;DR9;244.0057;+62.8696;16.061; 0.573; -91.2;5273;-1.93; 2.20;15.62; 0.45; 13.28; 15.92; 0.86;Sloan;SDSS J161601.31+625210.3
095.043896;+41.140121;DR9;244.1802;+63.1770;14.955; 0.660;-183.1;4881;-1.85; 1.51;15.56;-0.60; 12.92; 15.64; 1.00;Sloan;SDSS J161643.23+631037.0
094.402783;+39.323910;DR9;248.3430;+63.3590;15.652; 0.633;-240.3;5005;-2.14; 1.60;16.29;-0.64; 18.11; 20.23; 1.00;Sloan;SDSS J163322.28+632132.4
094.756907;+39.037414;DR9;248.7573;+63.7102;15.535; 0.604;-168.6;5161;-1.30; 2.61;14.89; 0.65;  9.50; 12.81; 0.53;Sloan;SDSS J163501.67+634236.9
094.064909;+38.730431;DR9;249.7805;+63.2907;16.176; 0.628; -57.9;5068;-1.33; 2.35;15.83; 0.34; 14.68; 17.10; 0.77;Sloan;SDSS J163907.26+631726.4
093.549876;+31.911394;DR9;265.1272;+64.0712;16.769; 0.570;-408.8;5084;-1.76; 2.17;16.17; 0.60; 17.16; 19.31; 0.79;Sloan;SDSS J174030.47+640416.4
093.458130;+31.783402;DR9;265.4280;+63.9997;16.195; 0.563;-109.7;5167;-2.24; 2.18;16.05; 0.14; 16.24; 18.47; 0.91;Sloan;SDSS J174142.67+635958.6
092.850503;+32.515197;DR9;263.8431;+63.4448;16.842; 0.618;-396.8;5041;-1.73; 2.12;16.78; 0.07; 22.65; 24.34; 0.97;Sloan;SDSS J173522.29+632641.2
093.188669;+32.262417;DR9;264.3697;+63.7458;17.394; 0.749;-164.1;4833;-0.76; 3.38;17.49;-0.10; 31.50; 32.86; 0.72;Sloan;SDSS J173728.71+634444.7
092.797802;+33.114639;DR9;262.5157;+63.3551;15.220; 0.650;-229.3;4941;-1.49; 2.10;15.31;-0.09; 11.52; 14.29; 0.99;Sloan;SDSS J173003.71+632118.3
093.141694;+33.053098;DR9;262.5969;+63.6475;16.112; 0.727;-307.9;4916;-1.70; 1.81;17.18;-1.06; 27.24; 28.75; 1.00;Sloan;SDSS J173023.18+633850.8
093.281257;+32.581686;DR9;263.6370;+63.8024;16.068; 0.528;-231.1;5319;-2.26; 2.79;15.42; 0.65; 12.13; 14.85; 0.54;Sloan;SDSS J173432.80+634808.6
093.851949;+32.847410;DR9;262.9431;+64.2594;16.764; 0.576;-173.0;5157;-1.75; 2.30;16.24; 0.52; 17.72; 19.85; 0.85;Sloan;SDSS J173146.31+641533.4
094.808941;+34.153483;DR9;259.7003;+64.8961;16.689; 0.650;   0.1;5033;-2.27; 1.95;17.60;-0.91; 33.08; 34.57; 1.00;Sloan;SDSS J171848.02+645345.9
094.230439;+33.145619;DR9;262.1848;+64.5464;16.070; 0.677;-312.9;4971;-1.18; 2.36;16.03; 0.04; 16.10; 18.42; 0.91;Sloan;SDSS J172844.29+643246.7
094.753325;+32.895192;DR9;262.6628;+65.0084;15.194; 0.689;-214.1;4971;-1.58; 1.84;15.77;-0.57; 14.25; 16.82; 1.00;Sloan;SDSS J173039.01+650030.2
094.139755;+32.780693;DR9;263.0465;+64.5063;14.763; 0.552;-355.0;5237;-1.99; 2.36;14.25; 0.51;  7.08; 11.00; 0.82;Sloan;SDSS J173211.11+643022.5
094.495524;+32.421517;DR9;263.8227;+64.8358;16.719; 0.641;-114.5;5089;-1.18; 2.49;16.36; 0.36; 18.73; 20.85; 0.71;Sloan;SDSS J173517.40+645008.8
094.437771;+32.375411;DR9;263.9399;+64.7909;15.471; 0.664;-417.0;4961;-1.26; 2.17;15.41; 0.06; 12.07; 14.91; 0.96;Sloan;SDSS J173545.56+644726.8
093.014738;+25.038634;DR9;280.5039;+63.1113;15.262; 0.583; -29.9;5139;-1.60; 2.21;14.70; 0.56;  8.70; 12.10; 0.81;Sloan;SDSS J184200.89+630640.7
093.638039;+24.800923;DR9;281.2701;+63.6193;14.462; 0.639;-324.7;5001;-1.41; 2.15;14.30; 0.17;  7.23; 11.09; 0.96;Sloan;SDSS J184504.76+633709.3
093.883963;+25.611520;DR9;279.5586;+63.9878;14.169; 0.603; -50.1;5085;-1.39; 2.17;13.60; 0.57;  5.25;  9.83; 0.70;Sloan;SDSS J183814.00+635915.8
094.044495;+25.493000;DR9;279.8825;+64.1100;15.036; 0.812;-265.2;4667;-1.54; 1.54;16.50;-1.46; 19.94; 21.96; 1.00;Sloan;SDSS J183931.76+640635.9
093.792193;+26.371577;DR9;277.8163;+64.0261;15.146; 0.720;-131.8;4929;-0.88; 2.55;15.06; 0.09; 10.28; 13.40; 0.83;Sloan;SDSS J183115.84+640134.0
093.738261;+27.342819;DR9;275.5996;+64.1021;14.560; 0.910;-194.5;4478;-0.56; 2.00;14.95;-0.39;  9.78; 12.99; 1.00;Sloan;SDSS J182223.83+640607.2
093.675284;+27.117628;DR9;276.0964;+64.0207;15.915; 0.700;-196.1;4908;-2.05; 1.37;17.17;-1.26; 27.19; 28.77; 1.00;Sloan;SDSS J182423.09+640114.7
094.274692;+27.250181;DR9;275.9341;+64.5656;16.191; 0.611; -87.7;5075;-1.45; 2.19;15.80; 0.39; 14.43; 16.96; 0.87;Sloan;SDSS J182344.08+643356.2
095.364280;+26.382991;DR9;278.2576;+65.4219;16.573; 0.573;-240.3;5229;-1.55; 2.46;15.82; 0.75; 14.58; 17.21; 0.61;Sloan;SDSS J183301.73+652518.8
094.441756;+26.183304;DR9;278.4429;+64.5746;17.619; 0.636;-148.8;4945;-1.30; 2.02;17.34; 0.28; 29.31; 30.91; 0.85;Sloan;SDSS J183346.20+643428.3
094.459910;+26.216911;DR9;278.3711;+64.5957;15.281; 0.707;-193.3;4886;-1.60; 1.90;16.07;-0.79; 16.37; 18.72; 1.00;Sloan;SDSS J183329.02+643544.4
094.159151;+26.143833;DR9;278.4450;+64.3179;15.903; 0.645;-386.7;4959;-1.28; 1.86;15.58; 0.32; 13.06; 15.76; 0.83;Sloan;SDSS J183346.77+641904.1
094.324370;+25.757797;DR9;279.3802;+64.4036;17.718; 0.578;-410.4;5170;-1.81; 1.85;17.28; 0.44; 28.52; 30.13; 0.88;Sloan;SDSS J183731.20+642413.1
094.295944;+25.946519;DR9;278.9395;+64.4088;15.259; 0.617;-414.1;5047;-1.21; 2.32;14.69; 0.57;  8.66; 12.18; 0.52;Sloan;SDSS J183545.44+642431.4
094.805722;+25.807918;DR9;279.4299;+64.8394;15.184; 0.571;-207.5;5172;-2.53; 2.30;15.26;-0.07; 11.26; 14.29; 0.96;Sloan;SDSS J183743.13+645021.7
094.880442;+25.603622;DR9;279.9303;+64.8720;15.333; 0.590;-325.8;5160;-1.55; 2.33;14.78; 0.55;  9.04; 12.52; 0.78;Sloan;SDSS J183943.24+645219.0
094.884419;+25.243394;DR9;280.7660;+64.8123;16.522; 0.601;-358.5;5239;-1.51; 2.59;16.07; 0.46; 16.34; 18.74; 0.84;Sloan;SDSS J184303.76+644844.3
093.053788;+18.938615;DR9;293.1000;+61.3918;15.136; 0.532;-334.2;5227;-2.04; 2.29;14.40; 0.73;  7.59; 11.30; 0.58;Sloan;SDSS J193223.94+612330.3
093.915821;+19.620826;DR9;292.3945;+62.4003;15.155; 0.615;-170.9;5009;-1.44; 2.13;14.82; 0.34;  9.18; 12.56; 0.92;Sloan;SDSS J192934.64+622401.3
093.506421;+19.671032;DR9;291.9951;+62.0589;17.608; 0.594;-340.2;5169;-1.62; 1.57;17.15; 0.46; 26.87; 28.47; 0.85;Sloan;SDSS J192758.80+620332.0
093.633605;+20.414696;DR9;290.5881;+62.4304;17.000; 0.594;-202.2;5120;-1.38; 2.27;16.30; 0.70; 18.23; 20.34; 0.54;Sloan;SDSS J192221.11+622549.4
093.127967;+20.618707;DR9;289.8353;+62.0523;16.394; 0.637;-166.2;5108;-1.25; 3.04;16.04; 0.36; 16.13; 18.37; 0.76;Sloan;SDSS J191920.41+620308.6
093.056537;+20.477814;DR9;290.0710;+61.9424;16.780; 0.530;-319.9;5253;-1.97; 2.40;15.92; 0.86; 15.30; 17.61; 0.50;Sloan;SDSS J192016.99+615632.4
093.783571;+21.370700;DR9;288.7184;+62.8730;17.340; 0.570;-231.4;5099;-1.90; 1.48;16.98; 0.36; 24.93; 26.65; 0.92;Sloan;SDSS J191452.33+625222.7
095.111987;+20.676698;DR9;291.0768;+63.8219;14.471; 0.659;-107.7;4999;-1.08; 2.39;14.13; 0.34;  6.69; 10.85; 0.73;Sloan;SDSS J192418.35+634919.0
094.472044;+20.551146;DR9;290.8885;+63.2157;14.963; 0.664; -19.2;4953;-2.55; 1.88;16.07;-1.11; 16.37; 18.74; 1.00;Sloan;SDSS J192333.21+631256.5
094.824298;+20.239495;DR9;291.7929;+63.4187;16.291; 0.646;-198.0;4961;-1.73; 1.27;16.66;-0.36; 21.44; 23.47; 1.00;Sloan;SDSS J192710.25+632507.4
094.905018;+20.273693;DR9;291.7803;+63.5016;15.099; 0.742;-309.6;4781;-1.23; 1.86;15.67;-0.58; 13.64; 16.36; 1.00;Sloan;SDSS J192707.24+633005.8
095.093034;+20.268897;DR9;291.9288;+63.6652;17.443; 0.577;-127.7;5244;-1.88; 2.69;17.10; 0.35; 26.27; 28.09; 0.91;Sloan;SDSS J192742.85+633954.5
095.019609;+19.297778;DR9;293.8964;+63.2471;15.752; 0.712;-324.9;4783;-1.96; 1.70;17.05;-1.30; 25.75; 27.59; 1.00;Sloan;SDSS J193535.07+631449.6
094.772706;+18.821005;DR9;294.6691;+62.8482;15.302; 0.726; -46.3;4852;-1.36; 1.89;15.94;-0.64; 15.42; 17.92; 1.00;Sloan;SDSS J193840.51+625053.5
